dataset,split_ratio,kmeans_score,kmedoids_score,kmeanspp_score,agg_score,number_of_clusters
1,0.2,0.5749429418885256,0.5417794242285044,0.5749429418885256,0.5749429418885256,3
1,0.3,0.5798360174465277,0.5071210197111128,0.5798360174465277,0.5798360174465277,3
1,0.4,0.5431336244539547,0.5357025409018941,0.5431336244539547,0.6014006923764491,3
1,0.5,0.5434118523273862,0.5268164408831764,0.5434118523273862,0.6295355755236935,3
1,0.2,0.4056676235074115,0.443889038363328,0.4056676235074115,0.5704587595111661,4
1,0.3,0.46370708736078803,0.5061503241079445,0.46370708736078803,0.5618490609363386,4
1,0.4,0.5090278872618624,0.3686088248883013,0.5090278872618624,0.5176082658014138,4
1,0.5,0.5093264592113784,0.5082661201814825,0.5093264592113784,0.5342378958383676,4
1,0.2,0.5100835175579914,0.37185963655669363,0.5100835175579914,0.5283701994864239,5
1,0.3,0.522122911798547,0.36214481025835443,0.522122911798547,0.5271724730337405,5
1,0.4,0.5265619266707542,0.3519387145590725,0.5265619266707542,0.5043081033617359,5
1,0.5,0.5186105898788708,0.34704787258320924,0.5186105898788708,0.5067501311118963,5
1,0.2,0.41529581523813147,0.37185963655669363,0.41529581523813147,0.4379030671167695,6
1,0.3,0.3778860721828062,0.3029813127636264,0.3778860721828062,0.37082636945103614,6
1,0.4,0.37433786140127157,0.2730127477023689,0.37433786140127157,0.3488976544247772,6
1,0.5,0.3520092380454994,0.3918262237901783,0.3520092380454994,0.3413691748662342,6
2,0.2,0.49953342051884714,0.5068822521714901,0.49953342051884714,0.5111603046945641,3
2,0.3,0.44474001932943374,0.45509001362856555,0.44474001932943374,0.4367466248840135,3
2,0.4,0.4691535516961623,0.47774503957952635,0.4691535516961623,0.4776206407843256,3
2,0.5,0.46580243707954627,0.4697145166805843,0.46580243707954627,0.46621834722211586,3
2,0.2,0.495879176813002,0.34757311960487164,0.495879176813002,0.552223970872103,4
2,0.3,0.45539380947177743,0.35584945726590833,0.45539380947177743,0.4453838447319648,4
2,0.4,0.45641505044218594,0.32582740000121063,0.45641505044218594,0.4703105015132871,4
2,0.5,0.4609444888504401,0.3693623341116707,0.4609444888504401,0.4691094007059231,4
2,0.2,0.5108162119596931,0.28041242271065697,0.5108162119596931,0.5327197644955342,5
2,0.3,0.46919712808530617,0.2674755529629139,0.46919712808530617,0.47265609517307283,5
2,0.4,0.47633908437257255,0.28444800590965214,0.47633908437257255,0.47250118525986945,5
2,0.5,0.47464417973212397,0.29017009768054,0.47464417973212397,0.48078828536478346,5
2,0.2,0.4707722076545098,0.30575844782376416,0.4707722076545098,0.5596782097013343,6
2,0.3,0.44541112688180357,0.25116063186388266,0.44541112688180357,0.4739584954290732,6
2,0.4,0.40346127704012713,0.17119441978687677,0.40346127704012713,0.4615340306465671,6
2,0.5,0.436329225883896,0.21506575059071226,0.436329225883896,0.46576553576060975,6
